heap_size,concurrent_users,collector,latency
800,1000,1,112.7952515757
800,1000,2,112.9873906731
800,1000,3,128.4576929598
800,1000,4,115.9016973369
800,500,1,59.040808543900006
800,500,2,59.120341636300004
800,500,3,66.84477734020001
800,500,4,60.8961545995
800,200,1,22.6993447981
800,200,2,23.572035459099997
800,200,3,25.7020573766
800,200,4,24.0316323964
800,100,1,12.1184039663
800,100,2,12.1304968022
800,100,3,13.2434745117
800,100,4,12.4499578599
800,50,1,5.814760735
800,50,2,5.8281181723
800,50,3,6.4994723584
800,50,4,5.9245005826999995
800,1,1,0.5085241587
800,1,2,0.5077879593
800,1,3,0.5290680433
800,1,4,0.5043656463
1000,1000,1,115.15490382879999
1000,1000,2,114.5590220248
1000,1000,3,126.2531078948
1000,1000,4,117.9439100233
1000,500,1,59.3314178564
1000,500,2,59.7033330335
1000,500,3,65.8405171767
1000,500,4,61.9561336942
1000,200,1,23.6033289911
1000,200,2,22.928357026999997
1000,200,3,25.569005117
1000,200,4,24.0039155733
1000,100,1,12.1232777971
1000,100,2,12.0296686483
1000,100,3,13.4053331848
1000,100,4,12.3478450566
1000,50,1,5.8293057134
1000,50,2,5.8292155649
1000,50,3,6.524807136900001
1000,50,4,5.969604761699999
1000,1,1,0.5094964049
1000,1,2,0.5037395579999999
1000,1,3,0.544640851
1000,1,4,0.5056112363
4000,1000,1,114.9658241751
4000,1000,2,116.4025341354
4000,1000,3,128.5745872216
4000,1000,4,122.9675386618
4000,500,1,59.7748834051
4000,500,2,61.3817725583
4000,500,3,67.64672647
4000,500,4,65.6580444181
4000,200,1,24.3621455878
4000,200,2,24.2009411846
4000,200,3,26.7730607146
4000,200,4,25.1623004206
4000,100,1,12.5499171698
4000,100,2,12.426680338699999
4000,100,3,13.7020580274
4000,100,4,12.9706426006
4000,50,1,6.0858915598
4000,50,2,5.9828910102999995
4000,50,3,6.6279316897000005
4000,50,4,6.2760758575999995
4000,1,1,0.5126496031000001
4000,1,2,0.5209230411
4000,1,3,0.5405181506
4000,1,4,0.5163127432
